id,city,birthdate
50,Linköping,1985-05-26T00:00:00
49,Stockholm,1949-06-24T00:00:00
48,Stockholm,1994-03-28T00:00:00
47,Uppsala,1998-03-22T00:00:00
46,Västerås,1980-09-04T00:00:00
45,Stockholm,1957-01-04T00:00:00
44,Stockholm,1993-10-24T00:00:00
43,Stockholm,1958-09-21T00:00:00
42,Linköping,1956-11-26T00:00:00
41,Stockholm,1955-12-06T00:00:00
40,Örebro,1992-06-01T00:00:00
39,Stockholm,1989-04-03T00:00:00
38,Stockholm,1990-10-12T00:00:00
37,Stockholm,1992-10-17T00:00:00
36,Linköping,1959-12-16T00:00:00
35,Stockholm,1980-01-26T00:00:00
34,Stockholm,1985-06-10T00:00:00
33,Stockholm,1961-06-22T00:00:00
32,Stockholm,1976-12-07T00:00:00
31,Göteborg,1959-12-04T00:00:00
30,Burträsk,1983-03-30T00:00:00
29,Stockholm,1986-08-11T00:00:00
28,Stockholm,1984-08-02T00:00:00
27,Stockholm,1989-11-26T00:00:00
26,Linköping,1954-05-27T00:00:00
25,Stockholm,2000-07-31T00:00:00
24,Stockholm,1954-05-11T00:00:00
23,Stockholm,1989-01-10T00:00:00
22,Stockholm,2000-11-09T00:00:00
21,Västerås,1988-11-13T00:00:00
20,Örebro,1963-10-20T00:00:00
19,Göteborg,1985-08-06T00:00:00
18,Uppsala,1991-03-19T00:00:00
17,Göteborg,1995-07-13T00:00:00
16,Västerås,1989-12-02T00:00:00
15,Linköping,1976-10-28T00:00:00
14,Göteborg,1978-03-20T00:00:00
13,Göteborg,1991-02-26T00:00:00
12,Stockholm,1997-10-25T00:00:00
11,Uppsala,1963-03-08T00:00:00
10,Örebro,1990-03-12T00:00:00
9,Göteborg,1960-05-09T00:00:00
8,Örebro,1980-11-04T00:00:00
7,Örebro,1956-05-07T00:00:00
6,Stockholm,1989-10-07T00:00:00
5,Uppsala,1996-02-11T00:00:00
4,Örebro,1991-01-17T00:00:00
3,Stockholm,1988-08-07T00:00:00
2,Uppsala,1989-05-26T00:00:00
1,Linköping,1990-12-06T00:00:00
51,Örebro,2000-07-02T00:00:00
52,Stockholm,2001-07-05T00:00:00
53,Burträsk,1989-05-20T00:00:00
54,Västerås,1996-07-29T00:00:00
55,Örebro,1960-08-17T00:00:00
56,Linköping,1995-04-02T00:00:00
57,Stockholm,1951-08-31T00:00:00
58,Göteborg,1988-06-18T00:00:00
59,Stockholm,1989-08-11T00:00:00
60,Göteborg,1995-04-28T00:00:00
61,Göteborg,1959-03-16T00:00:00
62,Åmål,1984-12-05T00:00:00
63,Linköping,1987-12-14T00:00:00
64,Göteborg,1979-01-15T00:00:00
65,Stockholm,1992-10-15T00:00:00
66,Västerås,1956-02-27T00:00:00
67,Stockholm,1960-01-18T00:00:00
68,Örebro,1991-01-04T00:00:00
69,Örebro,1951-09-29T00:00:00
70,Stockholm,1977-05-31T00:00:00
71,Uppsala,1961-06-23T00:00:00
72,Linköping,1989-10-27T00:00:00
73,Västerås,1960-04-30T00:00:00
74,Örebro,1955-07-25T00:00:00
75,Stockholm,1969-12-02T00:00:00
76,Linköping,1962-02-15T00:00:00
77,Burträsk,1958-03-14T00:00:00
78,Malmö,1974-05-23T00:00:00
79,Burträsk,1958-04-18T00:00:00
80,Stockholm,1956-02-10T00:00:00
81,Västerås,1957-06-21T00:00:00
82,Mora,1986-02-02T00:00:00
83,Stockholm,1963-06-18T00:00:00
84,Örebro,1982-12-16T00:00:00
85,Västerås,2001-11-24T00:00:00
86,Örebro,1965-04-10T00:00:00
87,Stockholm,1986-08-11T00:00:00
88,Stockholm,1953-02-14T00:00:00
89,Västerås,1986-12-13T00:00:00
90,Uppsala,1953-01-03T00:00:00
91,Stockholm,1983-06-22T00:00:00
92,Stockholm,1957-05-12T00:00:00
93,Göteborg,1958-11-08T00:00:00
94,Stockholm,1994-11-01T00:00:00
95,Stockholm,1950-11-02T00:00:00
96,Västerås,1956-03-16T00:00:00
97,Uppsala,1988-08-24T00:00:00
98,Göteborg,1991-04-02T00:00:00
99,Örebro,1960-03-09T00:00:00
100,Västerås,1984-04-05T00:00:00
101,Linköping,1962-09-20T00:00:00
102,Göteborg,1955-10-09T00:00:00
103,Västerås,2004-04-07T00:00:00
104,Pajala,1971-04-22T00:00:00
105,Göteborg,1953-04-16T00:00:00
106,Stockholm,1998-03-18T00:00:00
107,Göteborg,1965-08-27T00:00:00
108,Västerås,1976-06-07T00:00:00
109,Malmö,1985-02-15T00:00:00
110,Malmö,1991-12-06T00:00:00
111,Västerås,1981-10-09T00:00:00
112,Malmö,1955-10-18T00:00:00
113,Uppsala,1992-09-25T00:00:00
114,Stockholm,1988-09-22T00:00:00
115,Göteborg,1986-11-06T00:00:00
116,Stockholm,1986-10-30T00:00:00
117,Malmö,1996-09-03T00:00:00
118,Stockholm,1959-07-17T00:00:00
119,Linköping,1990-08-20T00:00:00
120,Göteborg,1958-01-16T00:00:00
121,Göteborg,1956-04-23T00:00:00
122,Göteborg,1962-07-14T00:00:00
123,Linköping,1961-12-13T00:00:00
124,Västerås,1974-12-23T00:00:00
125,Stockholm,1950-01-06T00:00:00
126,Göteborg,1990-12-03T00:00:00
127,Stockholm,1990-09-05T00:00:00
128,Västerås,1985-05-27T00:00:00
129,Stockholm,1997-02-01T00:00:00
130,Örebro,1990-12-18T00:00:00
131,Stockholm,1945-08-22T00:00:00
132,Linköping,1956-06-22T00:00:00
133,Stockholm,1987-10-11T00:00:00
134,Göteborg,1985-06-29T00:00:00
135,Stockholm,1960-04-15T00:00:00
136,Stockholm,1987-08-25T00:00:00
137,Malmö,1994-07-11T00:00:00
138,Malmö,1956-10-01T00:00:00
139,Stockholm,1984-11-20T00:00:00
140,Göteborg,1993-07-20T00:00:00
141,Göteborg,1963-01-28T00:00:00
142,Västerås,1996-04-14T00:00:00
143,Västerås,1992-05-06T00:00:00
144,Stockholm,1965-10-08T00:00:00
145,Stockholm,1991-06-21T00:00:00
146,Stockholm,1962-01-28T00:00:00
147,Västerås,1992-08-24T00:00:00
148,Stockholm,1959-04-26T00:00:00
149,Stockholm,1987-08-01T00:00:00
150,Uppsala,1956-01-27T00:00:00
151,Västerås,1957-01-05T00:00:00
152,Malmö,1979-10-25T00:00:00
153,Göteborg,1953-12-03T00:00:00
154,Stockholm,1958-03-14T00:00:00
155,Stockholm,1989-08-29T00:00:00
156,Malmö,1993-11-18T00:00:00
157,Stockholm,1992-10-21T00:00:00
158,Västerås,1957-05-23T00:00:00
159,Burträsk,1982-03-24T00:00:00
160,Stockholm,1957-08-13T00:00:00
161,Örebro,1953-02-22T00:00:00
162,Stockholm,1958-09-08T00:00:00
163,Göteborg,1985-12-05T00:00:00
164,Västerås,1989-12-14T00:00:00
165,Pajala,1957-10-31T00:00:00
166,Stockholm,1992-10-31T00:00:00
167,Linköping,1961-05-07T00:00:00
168,Stockholm,1989-10-07T00:00:00
169,Stockholm,1980-03-04T00:00:00
170,Örebro,1952-07-21T00:00:00
171,Stockholm,1955-06-26T00:00:00
172,Malmö,1994-03-29T00:00:00
173,Mora,1976-02-22T00:00:00
174,Göteborg,1966-08-15T00:00:00
175,Uppsala,1997-07-18T00:00:00
176,Örebro,1964-03-25T00:00:00
177,Stockholm,1985-02-09T00:00:00
178,Malmö,1984-12-16T00:00:00
179,Stockholm,1978-01-30T00:00:00
180,Örebro,1955-07-29T00:00:00
181,Mora,1985-09-19T00:00:00
182,Örebro,1999-10-22T00:00:00
183,Linköping,1992-01-17T00:00:00
184,Stockholm,1984-09-11T00:00:00
185,Malmö,1981-09-12T00:00:00
186,Malmö,1956-10-01T00:00:00
187,Göteborg,1983-10-01T00:00:00
188,Linköping,1956-04-09T00:00:00
189,Uppsala,1986-08-24T00:00:00
190,Stockholm,1985-09-14T00:00:00
191,Linköping,1989-02-20T00:00:00
192,Burträsk,1985-07-23T00:00:00
193,Åmål,1950-11-10T00:00:00
194,Linköping,1954-05-03T00:00:00
195,Stockholm,1960-02-08T00:00:00
196,Stockholm,1970-10-11T00:00:00
197,Stockholm,1991-12-07T00:00:00
198,Örebro,1964-09-16T00:00:00
199,Stockholm,1986-03-06T00:00:00
200,Västerås,1956-01-23T00:00:00
201,Linköping,1958-10-13T00:00:00
202,Stockholm,1996-03-08T00:00:00
203,Uppsala,1957-11-22T00:00:00
204,Malmö,1956-10-13T00:00:00
205,Örebro,1992-07-17T00:00:00
206,Örebro,1978-07-03T00:00:00
207,Göteborg,1986-05-21T00:00:00
208,Örebro,1990-03-18T00:00:00
209,Stockholm,1991-02-03T00:00:00
210,Malmö,1979-11-04T00:00:00
211,Uppsala,1986-04-30T00:00:00
212,Stockholm,1998-08-30T00:00:00
213,Stockholm,1986-03-01T00:00:00
214,Uppsala,1961-11-26T00:00:00
215,Uppsala,1973-02-13T00:00:00
216,Göteborg,1964-12-07T00:00:00
217,Örebro,1994-07-09T00:00:00
218,Uppsala,1955-11-08T00:00:00
219,Uppsala,1987-07-15T00:00:00
220,Stockholm,1988-03-25T00:00:00
221,Malmö,1983-06-27T00:00:00
222,Stockholm,1980-07-27T00:00:00
223,Stockholm,1981-01-18T00:00:00
224,Västerås,1984-03-01T00:00:00
225,Örebro,1992-08-18T00:00:00
226,Linköping,1996-05-24T00:00:00
227,Stockholm,1986-03-08T00:00:00
228,Linköping,1983-01-13T00:00:00
229,Malmö,1956-08-17T00:00:00
230,Stockholm,1996-09-23T00:00:00
231,Göteborg,1997-09-27T00:00:00
232,Stockholm,1962-04-04T00:00:00
233,Malmö,1984-10-21T00:00:00
234,Stockholm,1965-10-04T00:00:00
235,Göteborg,1975-05-26T00:00:00
236,Malmö,1985-11-20T00:00:00
237,Malmö,1952-05-11T00:00:00
238,Åmål,1945-02-05T00:00:00
239,Stockholm,1991-08-13T00:00:00
240,Västerås,1994-03-26T00:00:00
241,Stockholm,1982-02-25T00:00:00
242,Mora,1987-10-31T00:00:00
243,Malmö,1966-08-30T00:00:00
244,Örebro,1954-07-31T00:00:00
