Date,Campaign,Impressions,Clicks,CostMicros,Conversions,ConversionValue
2025-06-01,Summer Kickoff 2025,672,48,240000000,8,4855
2025-06-02,Summer Kickoff 2025,882,63,315000000,9,4636
2025-06-03,Summer Kickoff 2025,819,63,315000000,9,5005
2025-06-04,Summer Kickoff 2025,378,42,210000000,7,5118
2025-06-05,Summer Kickoff 2025,910,91,455000000,13,5064
2025-06-06,Summer Kickoff 2025,480,60,300000000,10,4559
2025-06-07,Summer Kickoff 2025,720,80,400000000,8,4329
2025-06-08,Summer Kickoff 2025,1400,100,500000000,10,4769
2025-06-09,Summer Kickoff 2025,810,54,270000000,6,4516
2025-06-10,Summer Kickoff 2025,480,60,300000000,6,4632
2025-06-11,Summer Kickoff 2025,968,88,440000000,11,3443
2025-06-12,Summer Kickoff 2025,630,42,210000000,6,3792
2025-06-13,Summer Kickoff 2025,432,48,240000000,8,4062
2025-06-14,Summer Kickoff 2025,1350,90,450000000,9,3861
2025-06-15,Summer Kickoff 2025,1215,81,405000000,9,5129
2025-06-16,Summer Kickoff 2025,864,72,360000000,9,4723
2025-06-17,Summer Kickoff 2025,336,42,210000000,6,3791
2025-06-18,Summer Kickoff 2025,384,48,240000000,6,4526
2025-06-19,Summer Kickoff 2025,504,63,315000000,7,4090
2025-06-20,Summer Kickoff 2025,1760,160,800000000,16,5113
2025-06-21,Summer Kickoff 2025,560,70,350000000,7,4861
2025-06-22,Summer Kickoff 2025,832,104,520000000,13,4881
2025-06-23,Summer Kickoff 2025,720,80,400000000,8,4152
2025-06-24,Summer Kickoff 2025,448,56,280000000,8,4014
2025-06-25,Summer Kickoff 2025,900,90,450000000,15,4865
2025-06-26,Summer Kickoff 2025,810,54,270000000,9,4776
2025-06-27,Summer Kickoff 2025,300,30,150000000,5,4068
2025-06-28,Summer Kickoff 2025,420,42,210000000,7,3921
2025-06-29,Summer Kickoff 2025,1260,90,450000000,10,4582
2025-06-30,Summer Kickoff 2025,810,54,270000000,6,4867
2025-07-01,Picnic & Camping Blast,792,72,360000000,9,4684
2025-07-02,Picnic & Camping Blast,900,90,450000000,15,5309
2025-07-03,Picnic & Camping Blast,686,49,245000000,7,6068
2025-07-04,Picnic & Camping Blast,1080,90,450000000,9,4547
2025-07-05,Picnic & Camping Blast,864,72,360000000,8,5951
2025-07-06,Picnic & Camping Blast,945,63,315000000,7,5372
2025-07-07,Picnic & Camping Blast,1596,114,570000000,19,6305
2025-07-08,Picnic & Camping Blast,1365,105,525000000,15,5193
2025-07-09,Picnic & Camping Blast,1890,126,630000000,18,6285
2025-07-10,Picnic & Camping Blast,864,96,480000000,16,6333
2025-07-11,Picnic & Camping Blast,1176,84,420000000,12,5155
2025-07-12,Picnic & Camping Blast,693,63,315000000,7,4542
2025-07-13,Picnic & Camping Blast,1890,126,630000000,14,4617
2025-07-14,Picnic & Camping Blast,1008,84,420000000,12,6407
2025-07-15,Picnic & Camping Blast,432,36,180000000,6,4794
2025-07-16,Picnic & Camping Blast,800,100,500000000,10,6052
2025-07-17,Picnic & Camping Blast,432,54,270000000,6,5103
2025-07-18,Picnic & Camping Blast,880,80,400000000,8,4722
2025-07-19,Picnic & Camping Blast,448,56,280000000,7,5264
2025-07-20,Picnic & Camping Blast,1520,190,950000000,19,6172
2025-07-21,Picnic & Camping Blast,693,63,315000000,7,4664
2025-07-22,Picnic & Camping Blast,756,84,420000000,12,4755
2025-07-23,Picnic & Camping Blast,630,42,210000000,6,5268
2025-07-24,Picnic & Camping Blast,980,70,350000000,7,5473
2025-07-25,Picnic & Camping Blast,800,80,400000000,10,5577
2025-07-26,Picnic & Camping Blast,648,72,360000000,9,5488
2025-07-27,Picnic & Camping Blast,864,72,360000000,8,4470
2025-07-28,Picnic & Camping Blast,1248,104,520000000,13,5067
2025-07-29,Picnic & Camping Blast,1056,88,440000000,11,4703
2025-07-30,Picnic & Camping Blast,637,49,245000000,7,5790
2025-07-31,Picnic & Camping Blast,1386,126,630000000,14,4868
2025-08-01,Back to Nature August,1372,98,490000000,14,8234
2025-08-02,Back to Nature August,3740,340,1700000000,34,10822
2025-08-03,Back to Nature August,3528,252,1260000000,28,8684
2025-08-04,Back to Nature August,1404,156,780000000,26,10608
2025-08-05,Back to Nature August,1932,138,690000000,23,10331
2025-08-06,Back to Nature August,896,112,560000000,14,10831
2025-08-07,Back to Nature August,1530,170,850000000,17,10701
2025-08-08,Back to Nature August,1155,105,525000000,15,9161
2025-08-09,Back to Nature August,1224,153,765000000,17,9687
2025-08-10,Back to Nature August,3000,250,1250000000,25,8000
2025-08-11,Back to Nature August,960,120,600000000,20,9924
2025-08-12,Back to Nature August,1134,126,630000000,14,7711
2025-08-13,Back to Nature August,936,104,520000000,13,7514
2025-08-14,Back to Nature August,2688,192,960000000,24,8564
2025-08-15,Back to Nature August,3915,261,1305000000,29,10540
2025-08-16,Back to Nature August,936,104,520000000,13,8888
2025-08-17,Back to Nature August,2223,171,855000000,19,9862
2025-08-18,Back to Nature August,952,119,595000000,17,8856
2025-08-19,Back to Nature August,1656,184,920000000,23,9679
2025-08-20,Back to Nature August,1040,130,650000000,13,9184
2025-08-21,Back to Nature August,1920,160,800000000,20,10705
2025-08-22,Back to Nature August,2912,224,1120000000,32,10681
2025-08-23,Back to Nature August,720,72,360000000,12,7662
2025-08-24,Back to Nature August,2250,150,750000000,15,8274
2025-08-25,Back to Nature August,2860,220,1100000000,22,10059
2025-08-26,Back to Nature August,1980,180,900000000,18,7599
2025-08-27,Back to Nature August,3080,280,1400000000,28,8570
2025-08-28,Back to Nature August,1056,96,480000000,12,8268
2025-08-29,Back to Nature August,2310,154,770000000,22,8398
2025-08-30,Back to Nature August,1001,77,385000000,11,7524
2025-08-31,Back to Nature August,918,102,510000000,17,9477
