id,price,category
1,496.21,Picnic
2,398.78,Picnic
3,468.44,Other
4,250.97,Picnic
5,490.26,Fishing
6,999.0,Camping
7,999.0,Fishing
8,179.01,Picnic
9,175.45,Camping
10,99.9,Survival
11,238.68,Survival
12,467.62,Survival
13,210.94,Climbing
14,180.49,Climbing
15,179.29,Hiking
16,75.98,Fishing
17,62.82,Picnic
18,327.42,Fishing
19,206.6,Survival
20,245.21,Survival
21,547.82,Fishing
22,173.83,Fishing
23,791.78,Camping
24,391.96,Fishing
25,237.55,Other
26,417.59,Hiking
27,621.28,Picnic
28,152.7,Hiking
29,366.49,Picnic
30,829.9,Hiking
31,316.75,Picnic
32,153.84,Fishing
33,242.8,Climbing
34,252.49,Other
35,82.26,Other
36,936.89,Camping
37,305.77,Hiking
38,156.06,Picnic
39,100.56,Other
40,622.95,Fishing
41,281.0,Fishing
42,999.0,Kökstillbehör
43,149.92,Climbing
44,751.31,Hiking
45,930.11,Camping
46,196.08,Hiking
47,261.06,Climbing
48,318.78,Picnic
49,247.59,Hiking
50,513.05,Camping
51,645.54,Picnic
52,110.03,Climbing
53,802.99,Survival
54,112.5,Fishing
55,368.46,Climbing
56,396.38,Camping
57,282.76,Fishing
58,833.7,Picnic
59,75.9,Picnic
60,71.48,Survival
61,443.34,Other
62,362.12,Climbing
63,79.45,Survival
64,241.67,Camping
65,746.72,Other
66,710.17,Fishing
67,193.03,Picnic
68,446.13,Fishing
69,369.78,Other
70,372.8,Picnic
71,1152.75,Climbing
72,77.6,Survival
73,294.56,Survival
74,301.6,Climbing
75,338.89,Picnic
76,129.59,Picnic
77,415.74,Camping
78,150.61,Picnic
79,566.3,Other
80,877.03,Climbing
81,482.97,Camping
83,629.29,Camping
84,94.17,Hiking
85,486.19,Hiking
86,245.81,Survival
87,711.68,Picnic
88,231.31,Survival
89,195.6,Camping
90,334.34,Fishing
91,270.25,Survival
92,284.26,Other
93,397.87,Hiking
94,641.87,Hiking
95,83.91,Picnic
96,302.16,Other
97,299.47,Fishing
99,360.24,Climbing
100,314.64,Fishing
